,小区名称,新房类型,是否在售,行政区,板块,详细地址,建面面积,均价,总价,卧室数,小区标签
10,长城逸府,住宅,在售,金山,金山,枫泾白牛路1068弄,建面90-125㎡,21579,总价195-249(万/套),3室/4室, 低单价 低总价 绿化率高 低密居所  
11,莘松绿嘉园,住宅,在售,松江,新桥,新城镇新中街188弄,建面69-165㎡,43474,总价422-526(万/套),2室, 绿化率高 人车分流 品牌房企 贴心物业  
12,上海高尔夫社区,住宅,在售,金山,金山,金石北路6800弄,建面91-143㎡,16900,总价158-283(万/套),3室/4室, 低单价 低总价 绿化率高 低密居所  
13,品尊国际,住宅,在售,普陀,真如,铜川路58弄,建面102-205㎡,109800,总价1000-2300(万/套),2室/3室/4室, 绿化率高 人车分流 品牌房企 贴心物业  
14,日月光伯爵天地,住宅,在售,嘉定,菊园新区,"嘉唐公路99弄,陈家山路388弄,皇庆路88弄,平城路1000弄",建面90-150㎡,44500,总价387-530(万/套),3室/4室, 车位充足 绿化率高 品牌房企 近地铁  
15,御岛财富,住宅,在售,崇明,长兴岛,凤蓉路455弄,建面115-287㎡,30000,总价700-890(万/套),3室/4室, 车位充足 绿化率高 置换改善 养老舒适  
16,湖山香颂湾,住宅,在售,金山,金山,"龙轩路999弄,龙轩路869弄",建面89-127㎡,31000,总价335(万/套),, 绿化率高 低密居所 养老舒适 公交直达  
17,东亚威尼斯公馆,住宅,在售,崇明,崇明新城,乔松路750号,建面54-154㎡,27999,总价401(万/套),3室, 绿化率高 封闭管理 品牌房企 贴心物业  
18,水榭兰亭,住宅,在售,奉贤,奉城,奉贤区奉城镇浦兰路91弄19号,建面89-123㎡,25500,总价200-325(万/套),2室/3室, 低单价 低总价 绿化率高 低密居所  
19,乡间艺墅,住宅,在售,金山,金山,金山区吕巷镇干巷红光路368号,建面90-135㎡,15000,总价130-200(万/套),2室/3室, 低单价 低总价 绿化率高 低密居所  
20,碧海银沙威尼斯,住宅,在售,上海周边,启东,恒大路1号,建面51-192㎡,7000,总价35.8-88.8(万/套),1室/2室/3室/4室, 低单价 低总价 绿化率高 小型社区  
21,象屿都城怡园,住宅,在售,上海周边,昆山,"金中路188号,金融大道与远国路交口",建面66-71㎡,23000,总价140-165(万/套),1室, 低总价 绿化率高 大型社区 国央企  
22,海上时光,住宅,在售,上海周边,太仓,太仓碧云路与安江路交汇处,建面96-142㎡,12000,总价120-163(万/套),3室, 低单价 低总价 车位充足 人车分流  
23,万科常春藤,住宅,在售,上海周边,昆山,江苏省苏州市昆山市同周公路99号,建面90-125㎡,18500,总价165-205(万/套),2室, 车位充足 绿化率高 国央企 养老舒适  
24,东鼎名人府邸,住宅,在售,上海周边,嘉兴,三仙路1号,建面89-114㎡,14000,总价142(万/套),, 低单价 低总价 人车分流 封闭管理  
25,倚云水岸苑,住宅,在售,上海周边,太仓,太仓市乃德路100号,建面76-113㎡,12000,总价98-158(万/套),2室/3室/4室, 低单价 低总价 绿化率高 小型社区  
26,崇明岛大爱城,住宅,在售,崇明,启东,江苏省启东市启隆镇丹枫路与滨江路交叉口崇明岛大爱城营销中心,建面65-113㎡,14000,总价120-160(万/套),3室/4室, 低单价 低总价 绿化率高 低密居所  
27,阳光城翡丽湾,住宅,在售,上海周边,上海周边,滨海大道与盐北路交汇处东北角,建面74㎡,12500,总价95(万/套),2室, 低单价 低总价 绿化率高 低密居所  
28,余姚阳光城翡丽湾,住宅,在售,上海周边,上海周边,"历石线阳光城翡丽湾,历石路99号,历石线与329国道交叉口东南侧220米",建面116-146㎡,8800,总价100-127(万/套),3室, 低单价 低总价 车位充足 人车分流  
29,新沪紫郡,住宅,在售,上海周边,太仓,建业路21号,建面93-114㎡,12000,总价112-138(万/套),2室/4室, 低单价 低总价 车位充足 人车分流  
30,中海戈雅园,住宅,在售,奉贤,奉城,浦兰路与城协路交叉口东北侧,建面83-127㎡,29000,总价280-400(万/套),3室/4室, 低单价 车位充足 绿化率高 国央企  
31,润泽嘉园,住宅,在售,上海周边,南通,丁新路150号,建面138-146㎡,9000,总价120-130(万/套),3室, 低单价 低总价 车位充足 绿化率高  
32,余姚中南漫悦湾,住宅,在售,上海周边,上海周边,迎霞北路与欣朗路交汇处,建面98-128㎡,9000,总价90-116(万/套),3室/4室, 低单价 低总价 车位充足 绿化率高  
33,卓越蔚蓝海岸,住宅,在售,上海周边,上海周边,杭州湾大道与滨海六路交汇处西500米,建面75-125㎡,13500,总价120-162(万/套),3室, 低单价 低总价 低密居所 人车分流  
34,杭州湾融创文旅城,住宅,在售,上海周边,上海周边,鱼鳞塘路与盐北路交叉口,建面70-145㎡,13500,总价100-203(万/套),2室/3室/4室, 低单价 低总价 低密居所 人车分流  
35,嘉兴御景湾,住宅,在售,上海周边,上海周边,浙江省嘉兴市平湖市乍浦镇陈山路与龙湫路交叉口东北侧,建面95-135㎡,14380,总价160-195(万/套),3室/4室, 低单价 车位充足 绿化率高 国央企  
36,万和四季,住宅,在售,上海周边,太仓,太仓市港区光华路与和平路交叉陆口,建面95-140㎡,12500,总价140-165(万/套),3室/4室, 低单价 低总价 人车分流 封闭管理  
37,象屿印溪佳园,住宅,在售,上海周边,太仓,姚泾南路6号,建面72-149㎡,14000,总价106-231(万/套),2室/3室/4室, 低单价 低总价 绿化率高 低密居所  
38,宏图国际花苑,住宅,在售,上海周边,昆山,花桥镇泗泾路218号,建面92-152㎡,25000,总价225-370(万/套),2室/4室, 车位充足 绿化率高 置换改善 养老舒适  
39,高尚领域,住宅,在售,普陀,真如,礼尚路222弄，礼尚路128弄,建面83-160㎡,150000,总价1500(万/套),, 小型社区 封闭管理 品牌房企 贴心物业  
40,福晟天地,住宅,在售,上海周边,上海周边,外环路与南湾路交汇处,建面66-116㎡,13500,总价139(万/套),4室, 低单价 低总价 人车分流 大型社区  
41,建邦国宸府,住宅,在售,金山,金山,龙胜东路同凯路路口,建面78-90㎡,29000,总价277-280(万/套),3室, 优惠楼盘 低总价 绿化率高 人车分流  
42,中朝桃源水岸,住宅,在售,上海周边,嘉兴,红星路116号,建面79-92㎡,12000,总价95-110(万/套),3室, 低单价 低总价 低密居所 人车分流  
43,合生杭州湾,住宅,在售,上海周边,上海周边,中兴一路1433号,建面93-130㎡,11500,总价102-143(万/套),2室/3室, 低单价 低总价 人车分流 大型社区  
44,观湖御景,住宅,在售,青浦,金泽,宝银路176弄,建面69-90㎡,28000,总价260-270(万/套),3室, 低单价 低总价 绿化率高 低密居所  
45,洋江唐顿公馆,住宅,在售,松江,九亭,九新公路179弄,建面95-135㎡,50400,总价480-690(万/套),2室/3室, 车位充足 绿化率高 置换改善 高品质小区  
46,华虹家园,住宅,在售,崇明,堡镇,石岛路518弄,建面79-132㎡,19000,总价150-251(万/套),2室/3室, 低单价 低总价 绿化率高 低密居所  
47,光明金山府,住宅,在售,金山,金山,龙堰路223弄,建面90-118㎡,22000,总价233-330(万/套),2室/3室, 优惠楼盘 低单价 车位充足 绿化率高  
48,龙湾温泉度假区,住宅,在售,上海周边,启东,江苏省启东市海复镇长泰海滨城,建面48-94㎡,10500,总价48-110(万/套),1室/2室/3室, 低单价 低总价 绿化率高 低密居所  
49,绿城乌镇蘭园,住宅,在售,上海周边,嘉兴,子夜东路1258号,建面80-140㎡,19800,总价160-280(万/套),2室/3室/4室, 绿化率高 低密居所 国央企 置换改善  
50,江南御苑,住宅,在售,上海周边,嘉兴,浙江省嘉兴市嘉善县惠民街道泰山路123号,建面69-99㎡,16500,总价116-166(万/套),2室/3室, 低总价 人车分流 小型社区 品牌房企  
51,元宝湾,住宅,在售,上海周边,嘉兴,柳苑路与平黎公路交叉口,建面82-110㎡,12000,总价90-121(万/套),2室/3室, 低单价 低总价 低密居所 人车分流  
52,海伦堡溪璟园,住宅,在售,上海周边,太仓,新镇路海伦堡溪璟园,建面91-132㎡,11000,总价109-158(万/套),3室/4室, 低单价 低总价 车位充足 低密居所  
53,朱泾名园,住宅,在售,金山,金山,公园路129弄,建面92-139㎡,29000,总价290-403(万/套),3室/4室, 低总价 车位充足 绿化率高 公交直达  
54,上海十里江湾,住宅,在售,崇明,崇明新城,乔松路289弄；乔松路305弄,建面73-129㎡,28350,总价203-420(万/套),2室/3室/4室, 低总价 车位充足 绿化率高 置换改善  
55,新湖绿城海上明月,住宅,在售,上海周边,启东,新湖大道新湖海上明珠,建面65-162㎡,8900,总价75-200(万/套),2室/3室/4室, 低单价 低总价 绿化率高 人车分流  
56,中興路一號,住宅,在售,静安,西藏北路,"静安区宝昌路272号,鸿兴路177弄，188弄",建面77-106㎡,132658,总价1016-1603(万/套),1室/2室, 绿化率高 人车分流 品牌房企 贴心物业  
57,海玥瀜庭,住宅,在售,金山,金山,枫兰路888弄,建面90-121㎡,20800,总价190-256(万/套),3室, 优惠楼盘 低单价 车位充足 绿化率高  
58,越秀·向东岛,住宅,在售,上海周边,太仓,太仓市富达路1号,建面99-265㎡,21000,总价260-600(万/套),4室/5室, 车位充足 绿化率高 国央企 置换改善  
59,泗泾绿中海,住宅,在售,松江,泗泾,上海市松江区泗泾沪松公路2512号,建面87-133㎡,45000,总价385-600(万/套),2室/3室, 绿化率高 人车分流 品牌房企 健身跑道  
60,水月源岸,住宅,在售,上海周边,昆山,大桥路588号,建面97-117㎡,15000,总价160(万/套),3室, 优惠楼盘 低总价 车位充足 绿化率高  
61,碧桂园星著,住宅,在售,上海周边,太仓,太仓临港南路548号碧桂园星著营销中心,建面85-120㎡,14000,总价140-160(万/套),3室/4室, 低单价 低总价 车位充足 绿化率高  
62,江景壹号,住宅,在售,上海周边,启东,海工大道与沿江公路相交处,建面60-112㎡,8500,总价50-96(万/套),2室/3室, 低单价 低总价 贴心物业 自持商业  
63,大华锦绣四季澜悦,住宅,在售,宝山,顾村,顾北路300弄，电台南路126弄,建面95-140㎡,49780,总价490(万/套),3室, 绿化率高 低密居所 高品质小区 品牌房企  
64,海伦堡·海伦湾,住宅,在售,上海周边,上海周边,浙江省湖州市吴兴区湖浔大道与永移线交叉口,建面95-140㎡,12500,总价118-300(万/套),3室/4室, 低单价 低总价 车位充足 低密居所  
65,伴湖雅苑,住宅,在售,上海周边,太仓,新毛新横路99号,建面98-171㎡,12500,总价155-250(万/套),4室/5室, 低单价 低总价 车位充足 绿化率高  
66,新未来樾湖,住宅,在售,金山,金山,亭林镇九工路2055弄,建面56-110㎡,20988,总价182-220(万/套),3室/4室, 低单价 低总价 绿化率高 低密居所  
67,国风云樾花园,住宅,在售,上海周边,苏州,友东路455号,建面85-95㎡,19000,总价162(万/套),3室, 低总价 车位充足 低密居所 国央企  
68,海伦堡云璟台,住宅,在售,上海周边,昆山,千灯镇炎东路南侧黄浦江路东侧,建面75-115㎡,16000,总价153-176(万/套),3室, 低总价 绿化率高 人车分流 品牌房企  
69,悦湖名城,住宅,在售,上海周边,上海周边,发展大道和湖墅路的交叉口1号,建面86-132㎡,9500,总价82-126(万/套),3室/4室, 低单价 低总价 人车分流 大型社区  
70,桂语江南苑,住宅,在售,上海周边,上海周边,西场路58号,建面77-118㎡,10500,总价95-115(万/套),3室/4室, 低单价 低总价 人车分流 封闭管理  
71,绿地铂澜晶舍,住宅,在售,上海周边,启东,启东市惠萍镇汇大线与S336交汇处（大兴路口）,建面103-135㎡,14500,总价128-168(万/套),3室/4室, 低单价 低总价 低密居所 人车分流  
72,南浔·贝尚湾,住宅,在售,上海周边,湖州,嘉业中路333号,建面96-160㎡,12000,总价155-250(万/套),3室/4室, 低单价 低总价 车位充足 低密居所  
73,中旅·锦绣东方国风小镇,住宅,在售,上海周边,上海周边,浙江省宁波市慈溪市玉海西路和杭州湾大道交汇处,建面89-116㎡,8000,总价85-120(万/套),3室, 优惠楼盘 低单价 低密居所 封闭管理  
74,中旅·宁波海泉湾,住宅,在售,上海周边,上海周边,慈溪市杭州湾大道与若瑜路交叉口西北80米,建面75-131㎡,9000,总价65-85(万/套),2室/3室, 低单价 低总价 人车分流 封闭管理  
75,合生晶萃,住宅,在售,上海周边,太仓,秋水街27号,建面78-93㎡,11500,总价98-120(万/套),2室/3室, 低单价 低总价 绿化率高 人车分流  
76,新城吾悦华府,住宅,在售,上海周边,上海周边,南林路252号,建面102-140㎡,10500,总价127(万/套),, 低单价 低总价 人车分流 大型社区  
77,蓝城春风桃源里,住宅,在售,上海周边,上海周边,浙江省海盐县东海大道与海风大道交叉口,建面87-141㎡,13500,总价96-198(万/套),3室/4室, 低单价 低总价 人车分流 大型社区  
78,西江月,住宅,在售,上海周边,上海周边,新桥北路西江月,建面99-142㎡,12000,总价127-177(万/套),3室/4室, 低单价 低总价 车位充足 低密居所  
79,观海华苑,住宅,在售,上海周边,南通,珠海路与长江路交叉口东南100米,建面93-167㎡,8800,总价89-140(万/套),3室/4室, 低单价 低总价 绿化率高 低密居所  
80,世茂江海天成,住宅,在售,上海周边,南通,金海路世茂江海天成,建面97-191㎡,8800,总价100-170(万/套),3室/4室, 低单价 低总价 绿化率高 低密居所  
81,中南滨海壹号,住宅,在售,上海周边,上海周边,金源大道中南滨海壹号,建面97-139㎡,13500,总价169-188(万/套),3室, 低单价 低总价 车位充足 低密居所  
82,复游城,住宅,在售,上海周边,太仓,东仓新路与正夫路交叉口,建面88-149㎡,24800,总价215-380(万/套),2室/3室/4室, 优惠楼盘 车位充足 绿化率高 品牌房企  
83,祥生.臻院,住宅,在售,上海周边,上海周边,菱新公路祥生臻院,建面113-142㎡,8000,总价90-114(万/套),3室/4室, 低单价 低总价 人车分流 小型社区  
84,正大蓝城·春风蓝湾,住宅,在售,上海周边,上海周边,郑家浦东直路正大蓝城·春风蓝湾,建面89-112㎡,12300,总价110-123(万/套),3室, 低单价 低总价 低密居所 人车分流  
85,光明梦想城,住宅,在售,上海周边,上海周边,浙江省湖州市长兴县太湖旅游度假区洪图大道与碧岩路交汇处,建面75-136㎡,11500,总价95-150(万/套),2室/3室/4室, 低单价 低总价 人车分流 大型社区  
86,世外旭辉城,住宅,在售,上海周边,上海周边,浙江省宁波市杭州湾新区世外旭辉城,建面85-170㎡,13500,总价115-240(万/套),3室/4室, 低单价 低总价 人车分流 大型社区  
87,绿城象屿观澜逸品,住宅,在售,上海周边,苏州,吴中尹苑路与花泾港路交汇处,建面102-165㎡,31000,总价316-421(万/套),3室/4室, 车位充足 绿化率高 国央企 置换改善  
88,诚通江南里,住宅,在售,上海周边,上海周边,联谊西路80号,建面68-115㎡,10500,总价75-130(万/套),2室/3室, 低单价 低总价 人车分流 大型社区  
89,瀛海花墅,住宅,在售,上海周边,启东,通海路388号,建面62-118㎡,7200,总价48-82(万/套),1室/2室/3室, 低单价 低总价 绿化率高 低密居所  
90,星悦府,住宅,在售,上海周边,太仓,郑和西路288号,建面96-127㎡,14900,总价144-190(万/套),3室/4室, 绿化率高 人车分流 公交直达 大三居  
91,金澜香溪,住宅,在售,上海周边,上海周边,半岛东路988号,建面95-133㎡,9800,总价116-121(万/套),3室, 低单价 低总价 车位充足 低密居所  
92,光樾华庭,住宅,在售,上海周边,苏州,吴江区新友路599号,建面90-125㎡,19200,总价173-240(万/套),3室, 车位充足 绿化率高 国央企 置换改善  
93,誉景澜庭,住宅,在售,上海周边,昆山,江苏省苏州市昆山市千灯镇黄浦江路与淞南中路交汇处,建面86-132㎡,13500,总价120-200(万/套),3室/4室, 低单价 低总价 绿化率高 封闭管理  
94,象屿都城嘉园,住宅,在售,上海周边,昆山,昆山市花桥镇金中路188号,建面66-71㎡,22000,总价150-165(万/套),1室, 低总价 绿化率高 大型社区 国央企  
95,新黄浦四象府,住宅,在售,上海周边,湖州,嘉业中路533号,建面43-132㎡,12000,总价52-140(万/套),1室/3室, 低单价 低总价 低密居所 人车分流  
96,华纺湖誉府,住宅,在售,上海周边,上海周边,南浔区年丰西路1999号（江蒋漾路交汇处）,建面89-143㎡,12000,总价98-190(万/套),3室/4室, 低单价 低总价 低密居所 人车分流  
97,德信都绘大境,住宅,在售,上海周边,昆山,汉昆路与文峰路交汇处（华美达东侧）,建面81-139㎡,15000,总价165-208(万/套),3室/4室, 低总价 绿化率高 人车分流 品牌房企  
98,景瑞悦庭,住宅,在售,上海周边,太仓,太仓市双凤镇建业路南侧、双湖大道西,建面91-100㎡,14000,总价132-145(万/套),3室, 低单价 低总价 车位充足 绿化率高  
99,首创禧悦棠礼花园,住宅,在售,上海周边,昆山,昆山市张浦镇锦上路698号,建面85-129㎡,15000,总价136-204(万/套),2室/3室, 低总价 绿化率高 人车分流 国央企  
100,佩玛山丘,住宅,在售,浦东,曹路,民雪路108弄,建面114-167㎡,60000,总价620-971.94(万/套),3室/4室, 车位充足 绿化率高 置换改善 养老舒适  
101,电建地产·明悦苑,住宅,在售,上海周边,太仓,苏州市太仓市沙溪镇沙南路沙溪实验中学东侧,建面115-135㎡,13800,总价150-190(万/套),3室, 低单价 低总价 车位充足 绿化率高  
102,黄浦湾·玉象府,住宅,在售,上海周边,上海周边,湖州市南浔区南浔经济开发区向阳路1888号,建面98-126㎡,12000,总价110-158(万/套),3室, 低单价 低总价 低密居所 封闭管理  
103,金科旭辉悦章,住宅,在售,上海周边,太仓,东仓新路桴亭路交汇处,建面105-142㎡,21500,总价225-305(万/套),3室/4室, 车位充足 绿化率高 置换改善 养老舒适  
104,海王康山壹号,住宅,在售,上海周边,上海周边,康山大道海王康山壹号,建面280㎡,10000,总价305(万/套),, 低单价 车位充足 绿化率高 高品质小区  
105,湖境天著雅苑,住宅,在售,上海周边,太仓,江苏省苏州市太仓市城厢镇胜泾路与陈门泾路交叉口东南湖境天著售楼中心,建面76-109㎡,18000,总价150-180(万/套),3室, 低总价 绿化率高 人车分流 国央企  
106,吾悦广场时代云境,住宅,在售,上海周边,上海周边,吴兴大道吾悦广场时代云境,建面89-140㎡,13000,总价107-168(万/套),3室/4室, 低单价 低总价 人车分流 大型社区  
107,金成首品,住宅,在售,上海周边,上海周边,湖州市吴兴区长安路与东尼路交汇处,建面85-118㎡,12000,总价89-142(万/套),3室/4室, 低单价 低总价 低密居所 人车分流  
108,大发德商熙悦花园,住宅,在售,上海周边,嘉兴,植材路大发德商熙悦花园,建面50-128㎡,15890,总价80-145(万/套),1室/2室/3室/4室, 低总价 人车分流 封闭管理 品牌房企  
109,宝山天铂,住宅,在售,宝山,罗泾,上海市宝山区萧云路501号,建面71-89㎡,38800,总价295-340(万/套),3室, 低密居所 人车分流 养老舒适 品牌房企  
110,雅居乐悦景庄春风渡,住宅,在售,上海周边,嘉兴,悦景路179号,建面73-109㎡,17500,总价131-208(万/套),2室/3室, 低总价 绿化率高 小型社区 品牌房企  
111,金融街.金悦府,住宅,在售,崇明,崇明新城,海天路369弄,建面79-125㎡,31330,总价221-350(万/套),2室/3室/4室, 低总价 车位充足 绿化率高 国央企  
112,海盐恒大滨河左岸,住宅,在售,上海周边,上海周边,创业路海盐恒大滨河左岸,建面78-124㎡,14000,总价109-175(万/套),2室/3室, 低单价 低总价 车位充足 人车分流  
113,兰香湖壹号,住宅,在售,闵行,吴泾,闵行区兰香湖西路168弄,建面230-270㎡,82000,总价1930-2200(万/套),4室/5室, 车位充足 绿化率高 置换改善 高品质小区  
114,鑫远·太湖健康城,住宅,在售,上海周边,上海周边,湖州市太湖旅游度假区行渎港路太湖健康城星宸府,建面98-138㎡,13400,总价128-180(万/套),3室/4室, 低单价 低总价 车位充足 低密居所  
115,金辉悠步江来,住宅,在售,上海周边,太仓,北环路和安江路路口,建面79-95㎡,11500,总价84-115(万/套),2室/3室, 低单价 低总价 车位充足 绿化率高  
116,中南春江云锦,住宅,在售,上海周边,太仓,闸北路277号,建面75-108㎡,15700,总价108(万/套),2室, 优惠楼盘 低总价 绿化率高 封闭管理  
117,伟业观塘壹号,住宅,在售,上海周边,上海周边,南浔区泰安西路65号,建面100-125㎡,11500,总价115-145(万/套),3室, 低单价 低总价 车位充足 人车分流  
118,春风南岸,住宅,在售,上海周边,太仓,胜泾路101号,建面86-95㎡,18000,总价150-160(万/套),3室, 绿化率高 低密居所 高品质小区 品牌房企  
119,奥园悦见山,住宅,在售,上海周边,上海周边,禹山坞路270号,建面95-135㎡,12000,总价114-162(万/套),2室/4室, 低单价 低总价 低密居所 人车分流  
120,乌镇璟园,住宅,在售,上海周边,嘉兴,乌镇上塔庙路和子夜路交汇处乌镇璟园营销中心,建面78-143㎡,21000,总价160-310(万/套),2室/3室, 低密居所 大型社区 国央企 置换改善  
121,碧桂园天璞璟苑,住宅,在售,上海周边,太仓,弇山西路112号,建面93-198㎡,18500,总价175-340(万/套),3室/4室, 车位充足 绿化率高 品牌房企 公交直达  
122,湖畔景园,住宅,在售,上海周边,嘉兴,平南路湖畔景园,建面72-89㎡,14000,总价93-115(万/套),2室/3室, 低单价 低总价 低密居所 人车分流  
123,惠建未来峯,住宅,在售,上海周边,上海周边,浙江省湖州市吴兴区二环南路惠建未来峯,建面85-120㎡,14500,总价120-168(万/套),3室/4室, 低单价 人车分流 封闭管理 品牌房企  
124,奉发宝龙广场,住宅,在售,奉贤,四团,奉贤区港佳路398弄1号,建面73-89㎡,25140,总价215(万/套),3室, 低单价 低总价 绿化率高 人车分流  
125,虹桥灿耀星城,住宅,在售,青浦,徐泾,沪青平公路1928弄,建面70-98㎡,63000,总价440-553(万/套),2室/3室, 绿化率高 人车分流 地铁沿线 公交直达  
126,保利明玥潮升,住宅,在售,崇明,崇明新城,海天路79弄136号(海天路与金浪路路口),建面82㎡,28000,总价220(万/套),2室, 低总价 车位充足 绿化率高 国央企  
127,浦发唐城二期,住宅,在售,浦东,唐镇,夏榕路55弄,建面95-133㎡,68500,总价626-960(万/套),3室/4室, 车位充足 绿化率高 国央企 置换改善  
128,大名城映晖,住宅,在售,浦东,临港新城,海基一路166弄,建面95-121㎡,32022,总价325(万/套),3室, 低单价 车位充足 绿化率高 高品质小区  
129,悦澜天地,住宅,在售,奉贤,西渡,沪杭公路945弄,建面86-135㎡,38200,总价500(万/套),4室, 绿化率高 人车分流 国央企 品牌房企  
130,常熟金茂智慧科学城,住宅,在售,上海周边,常熟市,羿家路以南、福达路以西,建面92-205㎡,18500,总价145-440(万/套),3室/4室, 车位充足 绿化率高 国央企 品牌房企  
131,大名城映园,住宅,在售,奉贤,海湾,奉贤区正旭路399弄,建面79-129㎡,23976,总价240-320(万/套),3室/4室, 低单价 车位充足 绿化率高 置换改善  
132,运和外滩里,住宅,在售,上海周边,湖州,维多利大道169号,建面71-139㎡,9500,总价68-132(万/套),2室/3室/4室, 低单价 低总价 人车分流 小型社区  
133,海畔东方城,住宅,在售,上海周边,启东,惠民路388号,建面66-114㎡,8500,总价59-103(万/套),1室/2室/3室, 低单价 低总价 绿化率高 低密居所  
134,苏河湾1号,住宅,在售,静安,西藏北路,静安区浙江北路398号,建面140-539㎡,182000,总价9435-9691(万/套),6室, 车位充足 绿化率高 品牌房企 近地铁  
135,蓝庭景园,住宅,在售,上海周边,上海周边,独广公路蓝庭景园,建面77-89㎡,13000,总价96-111(万/套),3室, 低单价 低总价 封闭管理 公交直达  
136,鸿润雅苑,住宅,在售,上海周边,上海周边,金舟大道274号,建面66-115㎡,13500,总价63-106(万/套),2室/3室/4室, 低单价 低总价 人车分流 小型社区  
137,春风长住,住宅,在售,上海周边,上海周边,浙江省湖州市吴兴区吴兴大道与珍贝路交汇口,建面89-120㎡,12800,总价106-144(万/套),3室/4室, 低单价 低总价 车位充足 低密居所  
138,世纪金源梧桐印象,住宅,在售,金山,金山,朱枫公路与枫湾路交叉口,建面78-100㎡,21883,总价170-210(万/套),2室/3室, 低单价 低总价 绿化率高 人车分流  
139,阳光城文澜府,住宅,在售,上海周边,太仓,弇山西路116号,建面78-125㎡,17500,总价130-230(万/套),2室/3室/4室, 车位充足 绿化率高 品牌房企 公交直达  
140,明樾华庭,住宅,在售,上海周边,嘉兴,城西大道明樾华庭,建面89-143㎡,19000,总价195-290(万/套),3室/4室, 人车分流 小型社区 品牌房企 公交直达  
141,复地湖畔和光,住宅,在售,金山,金山,金山区志诚路585弄,建面75-136㎡,20688,总价168-180(万/套),3室, 低单价 低总价 绿化率高 低密居所  
142,水尚华庭,住宅,在售,金山,金山,金山区朱泾镇沈浦泾南路618弄,建面90-144㎡,31900,总价280-459(万/套),3室/4室, 车位充足 绿化率高 国央企 品牌房企  
143,远创宸樾,住宅,在售,上海周边,南通,龙腾路与同仁路交汇处,建面97-138㎡,21800,总价211-301(万/套),3室/4室, 车位充足 绿化率高 置换改善 高品质小区  
144,远创湖悦云境,住宅,在售,上海周边,南通,永福路和平宁路交叉口西南,建面95-120㎡,21100,总价185-234(万/套),3室/4室, 车位充足 人车分流 品牌房企 健身跑道  
145,金悦学府,住宅,在售,上海周边,嘉兴,浙江省嘉兴市嘉善县木业大道418号,建面77-132㎡,16000,总价146-250(万/套),2室/3室/4室, 人车分流 封闭管理 品牌房企 健身跑道  
146,和睿府,住宅,在售,上海周边,上海周边,旧馆大道和睿府,建面69-89㎡,10000,总价73-89(万/套),2室/3室, 低单价 低总价 人车分流 小型社区  
147,观江海,住宅,在售,上海周边,南通,江海大道与富兴南路交汇处,建面100-132㎡,17000,总价170-224(万/套),3室/4室, 车位充足 绿化率高 国央企 置换改善  
148,卓越府,住宅,在售,上海周边,南通,同仁路南东方大道西,建面125-143㎡,22500,总价281-322(万/套),4室, 车位充足 绿化率高 品牌房企 入户花园  
149,大华铂璟湾,住宅,在售,上海周边,南通,苏锡通园区槐杨路枫香大道交汇处,建面90-130㎡,19500,总价176-254(万/套),3室/4室, 车位充足 绿化率高 置换改善 高品质小区  
150,印象江南雅院,住宅,在售,上海周边,启东,丹桂路183号,建面99-122㎡,17000,总价168-207(万/套),3室, 车位充足 绿化率高 置换改善 高品质小区  
